Month,Station,CDMM
Aug-09,Myrup,222.8
Sep-09,Myrup,235.4
Oct-09,Myrup,195.8
Nov-09,Myrup,209
Dec-09,Myrup,192.7
Jan-10,Myrup,181.2
Feb-10,Myrup,179.4
Mar-10,Myrup,181.7
Apr-10,Myrup,168
May-10,Myrup,188.1
Jun-10,Myrup,188.5
Jul-10,Myrup,175.2
Aug-10,Myrup,169.9
Sep-10,Myrup,140.3
Oct-10,Myrup,118.2
Nov-10,Myrup,113.4
Dec-10,Myrup,105.9
Jan-11,Myrup,107.9
Feb-11,Myrup,120.3
Mar-11,Myrup,117.2
Apr-11,Myrup,96.2
May-11,Myrup,93.7
Jun-11,Myrup,49.6
Jul-11,Myrup,63.9
Aug-11,Myrup,47.2
Sep-11,Myrup,67.1
Oct-11,Myrup,73.1
Nov-11,Myrup,104
Dec-11,Myrup,153.5
Jan-12,Myrup,182.5
Feb-12,Myrup,181.9
Mar-12,Myrup,199.8
Apr-12,Myrup,171.5
May-12,Myrup,130.5
Jun-12,Myrup,157
Jul-12,Myrup,146.2
Aug-12,Myrup,143.7
Sep-12,Myrup,141.1
Oct-12,Myrup,100.5
Nov-12,Myrup,126.8
Dec-12,Myrup,119.2
Jan-13,Myrup,133.4
Feb-13,Myrup,120.7
Mar-13,Myrup,235.5
Apr-13,Myrup,255.9
May-13,Myrup,272.2
Jun-13,Myrup,272.2
Jul-13,Myrup,266.3
Aug-13,Myrup,309.3
Sep-13,Myrup,317.9
Oct-13,Myrup,361.2
Nov-13,Myrup,346.8
Dec-13,Myrup,353.9
Jan-14,Myrup,341.7
Feb-14,Myrup,331
Mar-14,Myrup,309.3
Apr-14,Myrup,276.8
May-14,Myrup,286.1
Jun-14,Myrup,263.2
Jul-14,Myrup,287.4
Aug-14,Myrup,251.8
Sep-14,Myrup,251.8
Oct-14,Myrup,288.6
Nov-14,Myrup,323.4
Dec-14,Myrup,323.7
Jan-15,Myrup,306.5
Feb-15,Myrup,289.4
Mar-15,Myrup,294.7
Apr-15,Myrup,308.3
May-15,Myrup,310
Jun-15,Myrup,295.3
Jul-15,Myrup,266.9
Aug-15,Myrup,297.7
Sep-15,Myrup,301.7
Oct-15,Myrup,283
Nov-15,Myrup,278.7
Dec-15,Myrup,303.8
Jan-16,Myrup,354.2
Feb-16,Myrup,346.9
Mar-16,Myrup,371.3
Apr-16,Myrup,375.4
May-16,Myrup,372.9
Jun-16,Myrup,378.7
Jul-16,Myrup,351.9
Aug-16,Myrup,378.4
Sep-16,Myrup,400.5
Oct-16,Myrup,412.9
Nov-16,Myrup,390
Dec-16,Myrup,404.2
Jan-17,Myrup,433.1
Feb-17,Myrup,538
Mar-17,Myrup,530.4
Apr-17,Myrup,496.6
May-17,Myrup,491.3
Jun-17,Myrup,439.3
Jul-17,Myrup,466.2
Aug-17,Myrup,432.3
Sep-17,Myrup,448.7
Oct-17,Myrup,424.2
Nov-17,Myrup,415.2
Dec-17,Myrup,411.7
Jan-18,Myrup,397.3
Feb-18,Myrup,474.2
Mar-18,Myrup,460.8
Apr-18,Myrup,421.4
May-18,Myrup,376.5
Jun-18,Myrup,344.8
Jul-18,Myrup,316.4
Aug-18,Myrup,411.4
Sep-18,Myrup,385.3
Oct-18,Myrup,406.3
Nov-18,Myrup,414.4
Dec-18,Myrup,404.5
Jan-19,Myrup,384.3
Feb-19,Myrup,363.8
